Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
3546,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",20-May-16,"Holmgren, M.",Nestling in Nest,Eucalyptus,19.8,Along S border of property. By scope we saw min 2 nestlings in nest; they looked like RtHa nestl. Did not see adults at nest.,"With O'Loghlen; Owen, K.  Long-time traditional nest. Along south boundary of property between Cocopah and Cieneguitas Rd.",34.45546,-119.75734,25,88,,observers,-13331326.11,4090124.371025438
4011,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, Cieneguitas Ck",14-Jul-98,"Mason, L.",Delivering Food to Nest or Cavity,,,"2 chicks peeking from nest, adults feeding young. No young out of nest.","With Meisel, H. On 28 July 1998, Liz Mason observes this (the second for this pair) brood fledges. 5 juvs out or nearly out of nest, 2 ad present and female? Carrying sticks to new nest.",34.4572,-119.75236,40,111,,Kite Histories 1998.docx,-13330771.74,4090359.279903738
4291,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",9-Mar-17,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,22,"Adult flew to empty nest not carrying anything, straightened something in the nest bottom, sat in nest. On 2 April 2017, Holmgren and Compton found the nest occupied. On 27 April 2017, Holmgren saw at least 1 white-headed, dark-bodied nestling.",Active nest for most or all of the last 20 years at least. Between Cocopah and Cieneguitas Rds along southern property boundary.,34.45543,-119.7574,15,88,,,-13331332.79,4090120.320915288
4371,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",19-May-97,"Mumford, B.",Fledgling out of Nest--Brancher,pine,,"2 ad, 4 nestl branchers. On 28 May 1997, Sue Mumford sees 5 nestlings (branchers)",N end of Cocopah Rd. 2nd nesting this summer by this pair. Records 3384 and 4371 are 2 separate nestings.,34.45581,-119.75399,40,90,,Mumford Cieneguitas Kites May 1997.pdf,-13330953.19,4090171.622418023
4426,Nuttall's Woodpecker,NUWO,Dryobates nuttallii,"San Marcos Foothills, West Mesa",12-Jun-98,"Holmgren, M.",Family Group in Close Association,,,family group,"With Mason, L.  NE of Via Gaitero",34.4584,-119.76518,400,117,,Atascadero Creek [SMF] 12 June 1998.pdf,-13332198.85,4090521.288878811
4427,California Scrub-Jay,CASJ,Aphelocoma californica,"San Marcos Foothills, Atascadero Ck",2-May-99,"Holmgren, M.",Carrying Food,,,food carry,"With Ball, M.  lower Atascadero Creek",34.45862,-119.76074,150,97,,San Marcos Foothills 2 May 99.pdf,-13331704.59,4090550.990776805
4428,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"San Marcos Foothills, No-name Creek",16-May-99,"Holmgren, M.",Nest Building,,,gathering mud at spring,along west bank of No-name Creek,34.46047,-119.75702,20,118,,San Marcos Foothills 16 May 99.doc,-13331290.49,4090800.759833383
4429,Oak Titmouse,OATI,Baeolophus inornatus,"San Marcos Foothills, No-name Creek",16-May-99,"Holmgren, M.",Family Group in Close Association,,,family group,,34.45846,-119.75638,150,103,,San Marcos Foothills 16 May 99.doc,-13331219.24,4090529.389388686
4430,Nuttall's Woodpecker,NUWO,Dryobates nuttallii,"San Marcos Foothills, Hidden Cyn",17-May-99,"Holmgren, M.",Delivering Food to Nest or Cavity,,,"nest, adults feeding nestlings in dead trunk.",Cyn E of West Mesa,34.45929,-119.7658,100,130,,San Marcos Foothills 17 May 99.doc,-13332267.87,4090641.447039164
4431,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, West Mesa",26-May-99,"Holmgren, M.",Egg in Nest,,,nest with 8 predated eggs,"With Kelly, M. breeding evidence. Along rim overlooking canyon just NE Via Gaitero gate.",34.45827,-119.76564,40,131,,San Marcos Foothills 26 May 99.pdf,-13332250.06,4090503.737794056
4432,European Starling,EUST,Sturnus vulgaris,"San Marcos Foothills, West Mesa",26-May-99,"Holmgren, M.",Carrying Food,,,10 min individuals all gathering insects in grassland then carrying it to spots W of West Mesa.,"With Kelly, M. breeding support",34.46204,-119.76863,15,174,,San Marcos Foothills 26 May 99.pdf,-13332582.9,4091012.7303471747
4433,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",6-Jun-99,"Holmgren, M.",Feeding Fledgling,,,adult feeding 3 fledglings,NW corner of West Mesa,34.4641,-119.76973,75,163,,find originals to scan,-13332705.36,4091290.863310113
4434,Black Phoebe,BLPH,Sayornis nigricans,"San Marcos Foothills, No-name Creek",13-Jun-99,"Holmgren, M.",Family Group in Close Association,,,several fledglings at spring,at 'spring',34.46028,-119.75705,,116,,San Marcos Foothills 13 June 99 final.pdf,-13331293.82,4090775.107621209
4435,House Wren,HOWR,Troglodytes aedon,"San Marcos Foothills, No-name Creek",13-Jun-99,"Kelly, M.",Family Group in Close Association,,,family group of 4 fledglings,,34.45822,-119.75635,75,102,,San Marcos Foothills 13 June 99 final.pdf,-13331215.9,4090496.9873841177
4436,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, West Mesa",13-Jun-99,"Holmgren, M.",Nestling in Nest,Coast Live Oak,,adult with 2 chix in nest,193m WNW Via Gaitero Gate,34.45851,-119.76872,10,138,,San Marcos Foothills 13 June 99 final.pdf,-13332592.92,4090536.139818026
4437,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, Hidden Cyn",13-Jun-99,"Holmgren, M.",Adult at Nest (clarify),Coast Live Oak,3.6,female trying to get in to nest,,34.46002,-119.76617,,145,,San Marcos Foothills 13 June 99 final.pdf,-13332309.06,4090740.0046886266
4438,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",14-Jun-99,"Holmgren, M.",Carrying Food,,,carrying food,"With Rothstein, S.  Along Via Gaitero",34.45639,-119.76664,50,125,,San Marcos Foothills 14 June 99.doc,-13332361.38,4090249.9251617743
4439,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",14-Jun-99,"Holmgren, M.",Fledgling under Parental Care,,,Fledglings with adults on the rocks in grassland,"With Rothstein, S.",34.46321,-119.76764,100,186,,San Marcos Foothills 14 June 99.doc,-13332472.7,4091170.6982267806
4440,House Finch,HOFI,Haemorhous mexicanus,"San Marcos Foothills, Central",11-Jul-99,"Holmgren, M.",Feeding Fledgling,,,adult feeding fledgling in tow,"With Meisel, H. Oak Woodland NE of Brown home",34.4633,-119.75691,100,176,,San Marcos Foothills 11 July 99.doc,-13331278.24,4091182.849693836
4441,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, Central",11-Jul-99,"Holmgren, M.",Nestling in Nest,Coast Live Oak,10,Male carrying food to nest and feeding feathered nestling.,"With Meisel, H. Oak Woodland NE of Brown home. Nest was on a horizontal limb (2 inches diameter) close to trunk.",34.46291,-119.75738,100,168,,San Marcos Foothills 11 July 99.doc,-13331330.56,4091130.1934312107
4442,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, Central",11-Jul-99,"Holmgren, M.",Agitated Behavior (clarify),,,Pair very agitated,"Just south of Cactus grove. Oak Woodland NE of Brown home.  With Meisel, H.",34.46383,-119.75747,50,190,,San Marcos Foothills 11 July 99.doc,-13331340.58,4091254.4085988966
4443,Song Sparrow,SOSP,Melospiza melodia,"San Marcos Foothills, No-name Creek",11-Jul-99,"Holmgren, M.",Fledgling under Parental Care,,,Barely flying juv near cattails,"With Meisel, H.  S end of No-name Creek",34.45645,-119.75558,,90,,San Marcos Foothills 11 July 99.doc,-13331130.19,4090258.0254766513
4444,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, Central",11-Jul-99,"Holmgren, M.",Family Group in Close Association,,,"Group of 3 in close association included 1 adult for sure, which may have been carrying food.",On knoll immediatley E of Brown inholding.,34.45844,-119.75773,25,116,,San Marcos Foothills 11 July 99.doc,-13331369.52,4090526.689218081
4445,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",14-Jun-99,"Holmgren, M.",Family Group in Close Association,,,1 family with 2 or 3 fledglings loosely associated,"With Rothstein, S.",34.4623,-119.77042,75,167,,San Marcos Foothills 14 June 99.doc,-13332782.17,4091047.8341290946
4446,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",20-Jun-99,"Holmgren, M.",Delivering Food to Nest or Cavity,,,Pair carrying food gave the 2-note 'tsi-dic' for several minutes while we watched them. Finally the food carrier ate the large food wad.,"With Ball, M. on E-facing slope S of old Burrowing Owl spot.",34.46396,-119.76602,75,179,,San Marcos Foothills 20 June 99.doc,-13332292.36,4091271.960852543
4447,Common Raven,CORA,Corvus corax,"San Marcos Foothills, West Mesa",28-Jun-99,"Holmgren, M.",Family Group in Close Association,,,"2 adults, 2 fledglings perched magnificently along the crest of the oak. Earlier in season adult was seen carrying food to the N of SMF. On 11 July 1999, 6 individuals flying around SMF were a family group.","With Labinger, Z. Either 28 or 29 June 1999?",34.4579,-119.76667,5,138,,San Marcos Foothills 29 June 99.doc,-13332364.72,4090453.7848562403
4448,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, Atascadero Ck",13-Jul-99,"Holmgren, M.",Fledgling under Parental Care,,,3 stub-tailed fledglings with 2 calling adults,,34.4602,-119.76127,200,104,,San Marcos Foothills 13 July 99.pdf,-13331763.59,4090764.3067072346
4449,Black-chinned Hummingbird,BCHU,Archilochus alexandri,"San Marcos Foothills, Atascadero Ck",13-Jul-99,"Holmgren, M.",Juvenile Independent,,,Juv seen,adult male also seen near here.,34.46071,-119.76176,200,107,,San Marcos Foothills 13 July 99.pdf,-13331818.14,4090833.162711149
4450,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, Atascadero Ck",13-Jul-99,"Holmgren, M.",Fledgling under Parental Care,,,2 baby-baseball-sized fledglings,,34.46095,-119.76108,200,110,,San Marcos Foothills 13 July 99.pdf,-13331742.44,4090865.565682063
4451,Pacific-slope Flycatcher,PSFL,Empidonax difficilis,"San Marcos Foothills, Atascadero Ck",13-Jul-99,"Holmgren, M.",Fledgling under Parental Care,,,2 fledglings in presence of an adult,,34.46159,-119.76178,200,112,,San Marcos Foothills 13 July 99.pdf,-13331820.37,4090951.9740598933
4452,California Towhee,CALT,Melozone crissalis,"San Marcos Foothills, West Mesa",23-Jul-99,"Kelly, M.",Fledgling with Presumed Parent,,,1 fledgling presumed with parent,"NE of Via Gaitero Rd. With Holmgren, M.",34.45869,-119.76618,50,141,,San Marcos Foothills 23 July 99.pdf,-13332310.17,4090560.4413971254
4453,Mourning Dove,MODO,Zenaida macroura,"San Marcos Foothills, West Mesa",23-Jul-99,"Holmgren, M.",Visiting Probable Nest Site,,,nest initiation,N end of West Mesa. Juvs among 30 or so individuals present.,34.46447,-119.76755,50,194,,San Marcos Foothills 23 July 99.pdf,-13332462.68,4091340.8199577266
4454,Greater Roadrunner,GRRO,Geococcyx californianus,"San Marcos Foothills, West Mesa",23-Jul-99,"Holmgren, M.",Dead (Museum) specimen,,,dead juvenile in bathtub,"at bathtub Spring. Date of demise not known. With Kelly, M.",34.46371,-119.76932,10,167,,San Marcos Foothills 23 July 99.pdf,-13332659.72,4091238.2065428686
4455,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",23-Jul-99,"Holmgren, M.",Carrying Food,,,1 adult carrying food,,34.46401,-119.76986,50,163,,San Marcos Foothills 23 July 99.pdf,-13332719.83,4091278.7117266064
4456,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",23-Jul-99,"Holmgren, M.",Family Group in Close Association,,,3 juvs together with 4th individual.,,34.46163,-119.77053,75,156,,San Marcos Foothills 23 July 99.pdf,-13332794.41,4090957.374605502
4457,American Kestrel,AMKE,Falco sparverius,"San Marcos Foothills, West Mesa",23-Jul-99,"Holmgren, M.",Family Group in Close Association,,,family group of 6 individuals.,,34.46211,-119.76749,250,177,,San Marcos Foothills 23 July 99.pdf,-13332456,4091022.181354629
4458,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, West Mesa",19-Mar-00,"Holmgren, M.",Carrying Nesting Material,,,adult carrying nest material,At SW corner,34.45402,-119.76407,100,90,,San Marcos Foothills 19 March 2000.pdf,-13332075.29,4089929.967379531
4459,Common Raven,CORA,Corvus corax,"San Marcos Foothills, West Mesa",13-May-00,"Holmgren, M.",Carrying Food,,,pair carrying food to N to power poles in forest in line with western property boundary.,SMF providing breeding support (food) for nesting offsite. Many contradictions in this note set.,34.46852,-119.77174,500,165,,notes not scanned,-13332929.11,4091887.6571998736
4460,European Starling,EUST,Sturnus vulgaris,"San Marcos Foothills, West Mesa",13-May-00,"Holmgren, M.",Carrying Food,,,23 individuals carrying food from West Mesa westward of Hwy 154.,Breeding support,34.4622,-119.76961,100,171,,notes not scanned,-13332692,4091034.332661574
4461,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, West Mesa",13-May-00,"Holmgren, M.",Carrying Nesting Material,,,male carrying nesting material to oak 20m S of northern property line.,2 other pairs present.  San Antonio Creek at NW corner of SMF,34.46469,-119.76917,25,169,,notes not scanned,-13332643.02,4091370.5240153316
4462,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",11-Jun-00,"Holmgren, M.",Fledgling under Parental Care,,,adult with fledgling,at head of Hidden Cyn,34.46157,-119.76679,50,173,,map not scanned,-13332378.08,4090949.2737880596
4463,Song Sparrow,SOSP,Melospiza melodia,"San Marcos Foothills, Cieneguitas Ck",2-Jul-00,"Holmgren, M.",Aborted nesting,Coast Live Oak,,"Terminated nest along Cieneguitas Creek, no waxy powder in nest, 1.5' from creek top","no waxy powder in nest, 1.5' from creek top,",34.45985,-119.75373,25,107,,San Marcos Foothills 2 July 2000.pdf,-13330924.24,4090717.052830273
4464,House Sparrow,HOSP,Passer domesticus,"San Marcos Foothills, West Mesa",2-Jul-00,"Holmgren, M.",Fledgling under Parental Care,,,2 fledglings under female PC. Another female carrying food across hwy 154.,along fence at Via Gaitero,34.45739,-119.76684,25,133,,San Marcos Foothills 2 July 2000.pdf,-13332383.64,4090384.931169651
4465,Western Kingbird,WEKI,Tyrannus verticalis,"San Marcos Foothills, West Mesa",2-Jul-00,"Holmgren, M.",Fledgling under Parental Care,Coast Live Oak,,"2 in juvenal plumage among 4 individuals, adults always nearby.",foraging to E and W of Via Gaitero,34.46292,-119.77094,20,162,,San Marcos Foothills 2 July 2000.pdf,-13332840.05,4091131.5435887175
4466,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",2-Jul-00,"Holmgren, M.",Feeding Fledgling,Eucalyptus,,carrying food and delivering to fledgling with 3/4 grown tail,at N end Via Gaitero.,34.45777,-119.76695,25,138,,San Marcos Foothills 2 July 2000.pdf,-13332395.89,4090436.2338765846
4467,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",2-Jul-00,"Holmgren, M.",Fledgling under Parental Care,,,"juvs seen on Via Gaitero fence, ad carrying food across hwy 154",,34.45668,-119.76657,50,128,,San Marcos Foothills 2 July 2000.pdf,-13332353.59,4090289.076737605
4828,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, East",11-Jun-00,"Holmgren, M.",Fledgling under Parental Care,,,adult with fledgling,East Mesa,34.46122,-119.75573,,,,GrSp Breeding Season Surveys.doc,-13331146.88,4090902.019135682
4836,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, Atascadero Ck",15-Jul-00,"Holmgren, M.",Family Group in Close Association,,,family group on E-facing slope,,34.45912,-119.76087,125,98,,San Marcos Foothills 15 July 00.doc,-13331719.07,4090618.495381483
4837,Lazuli Bunting,LAZB,Passerina amoena,"San Marcos Foothills, Atascadero Ck",26-Jul-00,"Holmgren, M.",Carrying Food,,,Male carry food twice to an apparent nest,lower Atascadero Creek,34.45892,-119.76097,10,97,,"handwritten notes. With Kelly, M.",-13331730.2,4090591.493491102
4838,Western Kingbird,WEKI,Tyrannus verticalis,"San Marcos Foothills, East",6-Aug-00,"Kelly, M.",Feeding Fledgling,,,"2 juvs with adult, food delivery","With Holmgren, M. 80m N. of Harris Meisel's home (the northernmost on Cocopah)",34.45639,-119.75511,10,96,,,-13331077.87,4090249.9251617743
4839,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",12-Apr-01,"Holmgren, M.",Copulation,,,Copulation,,34.46308,-119.76629,35,183,,CCBER Fieldnote Archive: map only among original SMF notes,-13332322.42,4091153.146130828
4840,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, Central",12-May-01,"Kelly, M.",Family Group in Close Association,,,"4 visuals, 1 male singing, together",,34.46405,-119.75669,50,191,,CCBER Fieldnote Archive: map only among original SMF notes,-13331253.75,4091284.1124287704
4841,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",7-May-01,"Holmgren, M.",Carrying Food,,,carrying food,,34.46377,-119.76728,25,192,,SMF 7 May 2001.pdf,-13332432.62,4091246.3075679713
4842,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, West Mesa",12-May-01,"Ball, M.",Adult at Nest (clarify),Coast Live Oak,10,"female on nest; Morgan suspects she is on eggs. On 24 June 2001, Holmgren saw a juvenile or fledgling in the tree. (San Marcos Foothills 24 June 2001.pdf)",,34.4584,-119.76869,10,139,,SMF 12 May 2001.doc,-13332589.58,4090521.288878811
4843,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",12-May-01,"Ball, M.",Nestling in Nest,oak or non-native ash,,"nest with young less than 1 week old. On 26 June 2001, Holmgren saw a family of 4 plus 1.",,34.45841,-119.7519,10,117,,SMF 12 May 2001.doc,-13330720.53,4090522.6389633855
4844,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",12-May-01,"Ball, M.",Nest in Use (clarify),ground,0.1,nest with 4 eggs.,SMF 12 May 2001.doc,34.45703,-119.76586,25,127,https://tinyurl.com/vpmvmew9,SMF 12 May 2001.doc,-13332274.55,4090336.328820557
4845,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",12-May-01,,Copulation,,,Copulation,,34.46422,-119.76646,25,193,,SMF 12 May 2001.doc,-13332341.34,4091307.0654418343
4846,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",12-May-01,"Holmgren, M.",Carrying Food,,,adult carrying food,"Survey mapped by 7 people found 29 singing males, 5 calling, 9 non-vocal, and 2 pairs for a total of 47 individuals including 2 carrying food.",34.46325,-119.76816,25,183,,SMF 12 May 2001.doc,-13332530.58,4091176.098877189
4848,Western Kingbird,WEKI,Tyrannus verticalis,"San Marcos Foothills, West Mesa",24-Jun-01,"Holmgren, M.",Carrying Food,,,From SMFP (the SE Pod of the West Mesa) adult carried food at least 800m south to the neighborhood S of the church. I'm guessing the bird was taking it to a nest somewhere nr the point chosen.,,34.4541,-119.75863,500,85,,San Marcos Foothills 24 June 2001.pdf,-13331469.71,4089940.7674941346
4849,American Kestrel,AMKE,Falco sparverius,"San Marcos Foothills, West Mesa",24-Jun-01,"Holmgren, M.",Family Group in Close Association,,,2 fledglings and 1 adult female together,,34.4571,-119.7666,100,131,,San Marcos Foothills 24 June 2001.pdf,-13332356.93,4090345.779260912
4850,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, Hidden Cyn",24-Jun-01,"Holmgren, M.",Feeding Fledgling,,,2 fledglings fed by female adult,,34.4596,-119.76536,75,144,,San Marcos Foothills 24 June 2001.pdf,-13332218.89,4090683.300182296
4851,California Scrub-Jay,CASJ,Aphelocoma californica,"San Marcos Foothills, West Mesa",24-Jun-01,"Holmgren, M.",Feeding Fledgling,,,"adult carrying food to full-tailed, but dependent, fledgling in pepper tree.",SE Pod,34.46065,-119.76358,15,150,,San Marcos Foothills 24 June 2001.pdf,-13332020.74,4090825.061982975
4852,Lazuli Bunting,LAZB,Passerina amoena,"San Marcos Foothills, Central",24-Jun-01,"Holmgren, M.",Feeding Fledgling,,,carrying food to fledgling in oak,just N of hd of Atascadero Ck,34.46031,-119.7632,15,141,,San Marcos Foothills 24 June 2001.pdf,-13331978.44,4090779.157966619
4853,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",24-Jun-01,"Holmgren, M.",Family Group in Close Association,Eucalyptus,,2 fledglings with adult,"Just N of SMFP in far upper Atascadero Creek, tree dead by 2017 if not before.  34.46531  -119.75931.",34.46652,-119.76003,100,154,,San Marcos Foothills 24 June 2001.pdf,-13331625.56,4091617.6108012553
4854,Western Bluebird,WEBL,Sialia mexicana,"San Marcos Foothills, West Mesa",24-Jun-01,"Holmgren, M.",Family Group in Close Association,,,family,SE Pod,34.46016,-119.76548,50,157,,San Marcos Foothills 24 June 2001.pdf,-13332232.25,4090758.9062541258
4856,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, East",7-Jul-01,"Holmgren, M.",Feeding Fledgling,,,adult feeding 2 fledglings,,34.45894,-119.7565,150,106,,San Marcos Foothills 7 July 2001.pdf,-13331232.6,4090594.1936772317
4857,Mourning Dove,MODO,Zenaida macroura,"San Marcos Foothills, East",7-Jul-01,"Holmgren, M.",Egg in Nest,Coast Live Oak,2.7,nest with 1 egg,on W side of No-named Ck,34.4578,-119.75617,150,98,,San Marcos Foothills 7 July 2001.pdf,-13331195.86,4090440.284100232
4858,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, East",7-Jul-01,"Holmgren, M.",Family Group in Close Association,,,family group of 5,,34.46104,-119.75727,50,130,,San Marcos Foothills 7 July 2001.pdf,-13331318.32,4090877.7168201706
4859,California Scrub-Jay,CASJ,Aphelocoma californica,"San Marcos Foothills, East",7-Jul-01,"Holmgren, M.",Fledgling under Parental Care,,,fledgling under parental care,,34.46432,-119.7553,50,140,,San Marcos Foothills 7 July 2001.pdf,-13331099.02,4091320.5672360617
4860,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, Baja West Mesa",22-Jul-01,"Holmgren, M.",Carrying Fecal Sac,,,"carrying what I suspect was a Fecal sac, 3 individuals seen and 1 juvenile.",,34.45611,-119.7644,50,104,,San Marcos Foothills 22 July 2001.pdf,-13332112.02,4090212.1237693005
4861,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, West Mesa",22-Jul-01,"Holmgren, M.",Fledgling under Parental Care,,,Fledgling under Parental care,,34.45999,-119.76601,50,145,,San Marcos Foothills 22 July 2001.pdf,-13332291.25,4090735.954357285
4862,Hooded Oriole,HOOR,Icterus cucullatus,"San Marcos Foothills, West Mesa",22-Jul-01,"Holmgren, M.",Family Group in Close Association,,,family,,34.4576,-119.7599,75,111,,San Marcos Foothills 22 July 2001.pdf,-13331611.09,4090413.2826367253
